target,source,right,pat,wt,dof,chisq,p,f4rank,GermanShepherdDog,Dingo_Ancient_Curracurrang,Dingo_Ancient_Nullarbor,feasible,best,dofdiff,chisqdiff,p_nested,weight_GermanShepherdDog,weight_Dingo_Ancient_Curracurrang,weight_Dingo_Ancient_Nullarbor,se_GermanShepherdDog,se_Dingo_Ancient_Curracurrang,se_Dingo_Ancient_Nullarbor,z_GermanShepherdDog,z_Dingo_Ancient_Curracurrang,z_Dingo_Ancient_Nullarbor,num_sources,num_right,all_above_3,rank
EAST_cd714,GermanShepherdDog|Dingo_Ancient_Nullarbor,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang,0,0,4,6.50943503808753,0.164196869513786,1,0.125604144237742,NA,0.874395855762258,TRUE,NA,NA,NA,NA,0.125604144237742,NA,0.874395855762258,0.016304956423498,NA,0.016304956423498,7.70343329815505,NA,53.6276107124159,2,6,TRUE,1
EAST_cd718,GermanShepherdDog|Dingo_Ancient_Nullarbor,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang,0,0,4,4.09841695839292,0.392850385812582,1,0.0893389947299666,NA,0.910661005270033,TRUE,NA,NA,NA,NA,0.0893389947299666,NA,0.910661005270033,0.0172416639015686,NA,0.0172416639015686,5.18157616573414,NA,52.8174664851914,2,6,TRUE,1
GOLD_25025,GermanShepherdDog,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang|Dingo_Ancient_Nullarbor,0,0,6,2.80909981017396,0.832397116329228,0,1,NA,NA,TRUE,NA,NA,NA,NA,1,NA,NA,1.13739604880513e-13,NA,NA,8792012255102.63,NA,NA,1,7,TRUE,1
GOLD_25189,GermanShepherdDog,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang|Dingo_Ancient_Nullarbor,0,0,6,1.29130183656431,0.972135161380283,0,1,NA,NA,TRUE,NA,NA,NA,NA,1,NA,NA,1.13739604880513e-13,NA,NA,8792012255102.63,NA,NA,1,7,TRUE,1
GOLD_25361,GermanShepherdDog,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang|Dingo_Ancient_Nullarbor,0,0,6,4.20862131634348,0.648467524462376,0,1,NA,NA,TRUE,NA,NA,NA,NA,1,NA,NA,1.13739604880513e-13,NA,NA,8792012255102.63,NA,NA,1,7,TRUE,1
GSD_25458,GermanShepherdDog,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang|Dingo_Ancient_Nullarbor,0,0,6,8.35210605606021,0.213425150200736,0,1,NA,NA,TRUE,NA,NA,NA,NA,1,NA,NA,1.13739604880513e-13,NA,NA,8792012255102.63,NA,NA,1,7,TRUE,1
GSD_25460,GermanShepherdDog,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang|Dingo_Ancient_Nullarbor,0,0,6,6.94235124332333,0.326211469909816,0,1,NA,NA,TRUE,NA,NA,NA,NA,1,NA,NA,1.13739604880513e-13,NA,NA,8792012255102.63,NA,NA,1,7,TRUE,1
GSD_27521,GermanShepherdDog,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang|Dingo_Ancient_Nullarbor,0,0,6,9.67679959633429,0.138939208631355,0,1,NA,NA,TRUE,NA,NA,NA,NA,1,NA,NA,1.13739604880513e-13,NA,NA,8792012255102.63,NA,NA,1,7,TRUE,1
GSD_34649,GermanShepherdDog,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang|Dingo_Ancient_Nullarbor,0,0,6,6.74995090834879,0.344591928145478,0,1,NA,NA,TRUE,NA,NA,NA,NA,1,NA,NA,1.13739604880513e-13,NA,NA,8792012255102.63,NA,NA,1,7,TRUE,1
HYBRID_cd022,GermanShepherdDog|Dingo_Ancient_Nullarbor,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang,0,0,4,3.25003137014748,0.516888128493161,1,0.554185059220806,NA,0.445814940779194,TRUE,NA,NA,NA,NA,0.554185059220806,NA,0.445814940779194,0.0120035583546105,NA,0.0120035583546105,46.1683979740846,NA,37.1402318886515,2,6,TRUE,1
